Country,Continent,Population,Annual_Growth_Rate,Area_sqkm,Density,Total_Fertility_Rate,Life_Expectancy_at_Birth,Under_5_Mortality_Rate,gdp,division
Afghanistan,Asia,36594776,2.366,652230,56.1,4.82,52.84,159.98,1800,The Rest
Albania,Europe,3080930,0.248,27398,112.5,1.5288,78.99,13.34,13200,The West
Algeria,Africa,42952039,1.48,2381740,18,2.5852,77.54,24.05,14000,The Rest
American Samoa,Oceania,47392,-2.277,198,239.4,2.35,74.79,13.2,NA,The Rest
Andorra,Europe,85722,-0.084,468,183.2,1.4293,83.03,4.27,55000,The West
Angola,Africa,32521837,3.399,1246700,26.1,5.9618,61.29,96.11,5440,The Rest
Anguilla,Latin America,18066,1.865,91,198.5,1.7252,81.79,4.62,NA,The Rest
Antigua and Barbuda,Latin America,98012,1.186,443,221.2,1.97,77.31,18.14,25000,The Rest
Argentina,Latin America,45479650,0.852,2736690,16.6,2.21,77.82,11.49,17100,The Rest
Armenia,Asia,3021483,-0.309,28203,107.1,1.6467,75.59,14.45,10200,The Rest
Aruba,Latin America,119496,1.197,180,663.9,1.8292,77.52,14.75,NA,The Rest
Australia,Oceania,25467706,1.365,7682300,3.3,1.7364,82.69,3.74,45800,The Rest
Austria,Europe,8856348,0.323,82445,107.4,1.4929,81.86,3.98,47300,The West
Azerbaijan,Asia,10207465,0.751,82629,123.5,1.8764,73.61,27.44,16400,The Rest
"Bahamas, The",Latin America,349655,0.865,10010,34.9,1.9841,75.61,15.92,NA,The Rest
Bahrain,Asia,1504665,2.044,760,1979.8,1.6893,79.45,12.79,42000,The Rest
Bangladesh,Asia,162532538,0.968,130170,1248.6,2.11,74.16,39.41,4400,The Rest
Barbados,Latin America,301001,0.296,430,700,1.7041,78.07,12.69,16700,The Rest
Belarus,Europe,9468822,-0.278,202900,46.7,1.4997,73.74,5.31,18200,The West
Belgium,Europe,11708235,0.612,30278,386.7,1.7734,81.44,4.04,43900,The West
Belize,Latin America,398890,1.688,22806,17.5,2.7,75.3,13.53,7780,The Rest
Benin,Africa,12861152,3.377,110622,116.3,5.5143,61.42,89.57,2310,The Rest
Bermuda,North America,71818,0.379,54,1330,1.9125,81.62,2.98,NA,The West
Bhutan,Asia,848893,1.011,38394,22.1,1.82,71.07,49.92,10200,The Rest
Bolivia,Latin America,11595674,1.408,1083301,10.7,2.48,70.41,52.29,7320,The Rest
Bosnia and Herzegovina,Europe,3832751,-0.204,51187,74.9,1.3357,77.5,6.19,13500,The West
Botswana,Africa,2316910,1.46,566730,4.1,2.45,64.82,34.47,17200,The Rest
Brazil,Latin America,212041332,0.669,8358140,25.4,1.73,74.71,22.48,14500,The Rest
Brunei,Asia,464145,1.499,5265,88.2,1.75,77.89,12.66,75100,The Rest
Bulgaria,Europe,6965462,-0.667,108489,64.2,1.4859,75.04,9.75,20900,The West
Burkina Faso,Africa,20833136,2.628,273800,76.1,4.51,62.66,86.66,1860,The Rest
Burma,Asia,56599075,0.841,653508,86.6,2.07,69.33,43.08,NA,The Rest
Burundi,Africa,11845890,2.874,25680,461.3,5.1729,66.71,57.62,628,The Rest
Cabo Verde,Africa,582153,1.256,4033,144.3,2.16,73.2,30.21,NA,The Rest
Cambodia,Asia,17070744,1.379,176515,96.7,2.39,65.93,69.53,4290,The Rest
Cameroon,Africa,27743599,2.783,472710,58.7,4.66,62.3,77.89,3460,The Rest
Canada,North America,37649603,0.785,9093507,4.1,1.5606,83.42,5.23,44500,The West
Cayman Islands,Latin America,61952,1.905,264,234.7,1.8334,81.63,9.33,NA,The Rest
Central African Republic,Africa,5262642,1.8,622984,8.4,4.14,54.62,128.75,817,The Rest
Chad,Africa,16875954,3.156,1259200,13.4,5.68,58.29,114.49,1790,The Rest
Chile,Latin America,18182486,0.697,743812,24.4,1.77,79.34,7.92,23300,The Rest
China,Asia,1394015977,0.295,9326410,149.5,1.6,76.05,13.72,18100,The Rest
Colombia,Latin America,49828664,1.066,1038700,48,2.15,76.66,15.34,14000,The Rest
Comoros,Africa,852094,1.444,2235,381.3,2.95,66.59,81.82,2520,The Rest
Congo (Brazzaville),Africa,5292798,2.294,341500,15.5,4.45,61.27,75.81,NA,The Rest
Congo (Kinshasa),Africa,101768560,3.177,2267048,44.9,5.77,61.01,86.26,NA,The Rest
Cook Islands,Oceania,8539,-2.553,236,36.2,2.12,76.64,20.13,NA,The Rest
Costa Rica,Latin America,5096857,1.075,51060,99.8,1.8739,79.18,10.06,16000,The Rest
Croatia,Europe,4229585,-0.493,55974,75.6,1.4281,76.72,10.95,25300,The West
Cuba,Latin America,11058573,-0.246,109820,100.7,1.7096,79.18,5.36,8370,The Rest
